TeamA,TeamB
Duke,Siena
Ohio St.,TCU
St John's,Northern Iowa
Kansas,Cal Baptist
Louisville,South Florida
Michigan St.,North Dakota St.
UCLA,UCF
Connecticut,Furman
Arizona,LIU
Villanova,Utah St.
Wisconsin,High Point
Arkansas,Hawaii
BYU,PLAYIN_TEX_NCS
Gonzaga,Kennesaw St.
Miami FL,Missouri
Purdue,Queens
Florida,PLAYIN_PVU_LEH
Clemson,Iowa
Vanderbilt,McNeese
Nebraska,Troy
North Carolina,VCU
Illinois,Penn
St. Mary's CA,Texas A&M
Houston,Idaho
Michigan,PLAYIN_UMBC_HOW
Georgia,St. Louis
Texas Tech,Akron
Alabama,Hofstra
Tennessee,PLAYIN_MOH_SMU
Virginia,Wright St.
Kentucky,Santa Clara
Iowa St.,Tennessee St.
