Round,TeamA,TeamB,Pick,PickProb,RoundPoints,ExpectedPoints
R64,Duke,Tennessee St,Duke,0.9975830711741744,10,9.975830711741745
R64,Missouri,Iowa,Iowa,0.6539587176753887,10,6.539587176753887
R64,Gonzaga,UNC Wilmington,Gonzaga,0.9496362579915156,10,9.496362579915157
R64,Arkansas,High Point,Arkansas,0.9207998036108134,10,9.207998036108133
R64,Illinois,Navy,Illinois,0.9885409696236706,10,9.885409696236705
R64,Kentucky,UCLA,UCLA,0.5277141378424628,10,5.277141378424628
R64,Iowa St,Merrimack,Iowa St,0.9791681610290512,10,9.791681610290512
R64,Miami FL,Texas A&M,Texas A&M,0.520450667886624,10,5.20450667886624
R64,Michigan,UMBC,Michigan,0.99618765369136,10,9.9618765369136
R64,Clemson,Texas,Clemson,0.5231544864643366,10,5.231544864643366
R64,Kansas,Liberty,Kansas,0.9291468972428799,10,9.291468972428799
R64,North Carolina,South Florida,North Carolina,0.7443330049350118,10,7.443330049350117
R64,Texas Tech,Hawaii,Texas Tech,0.9612684757966115,10,9.612684757966115
R64,Wisconsin,Santa Clara,Wisconsin,0.6047617677001398,10,6.047617677001398
R64,Florida,ETSU,Florida,0.9916938178363417,10,9.916938178363417
R64,UCF,Miami OH,UCF,0.689705950171593,10,6.89705950171593
R64,Connecticut,Howard,Connecticut,0.9872485804468857,10,9.872485804468857
R64,Utah St,Georgia,Georgia,0.514099383193263,10,5.140993831932629
R64,Virginia,Utah Valley,Virginia,0.9025498202077954,10,9.025498202077953
R64,Vanderbilt,Yale,Vanderbilt,0.9180811827258287,10,9.180811827258287
R64,Nebraska,North Dakota St.,Nebraska,0.9397394714949888,10,9.397394714949888
R64,St Mary's CA,SMU,St Mary's CA,0.6113260033525083,10,6.1132600335250835
R64,Houston,Austin Peay,Houston,0.987639120690792,10,9.87639120690792
R64,BYU,N.C. State,N.C. State,0.5192144243718095,10,5.192144243718095
R64,Arizona,Portland St,Arizona,0.9904985091714689,10,9.904985091714689
R64,Villanova,St Louis,St Louis,0.5145368043473246,10,5.145368043473246
R64,Alabama,SF Austin,Alabama,0.906491348987411,10,9.06491348987411
R64,St John's,Belmont,St John's,0.8165843083759355,10,8.165843083759356
R64,Purdue,Troy,Purdue,0.9836680820549949,10,9.83668082054995
R64,Tennessee,Ohio St,Tennessee,0.656794672042345,10,6.56794672042345
R64,Michigan St,Wright St,Michigan St,0.9634517733977894,10,9.634517733977894
R64,Louisville,TCU,Louisville,0.8424073004866192,10,8.424073004866191
R32,Duke,Iowa,Duke,0.9017743508410705,20,18.03548701682141
R32,Gonzaga,Arkansas,Arkansas,0.5021571514294172,20,10.043143028588343
R32,Illinois,UCLA,Illinois,0.8707396962410188,20,17.414793924820376
R32,Iowa St,Texas A&M,Iowa St,0.7492279905163839,20,14.984559810327678
R32,Michigan,Clemson,Michigan,0.9255518522059021,20,18.51103704411804
R32,Kansas,North Carolina,Kansas,0.5956105244125284,20,11.912210488250567
R32,Texas Tech,Wisconsin,Texas Tech,0.6680095115023852,20,13.360190230047703
R32,Florida,UCF,Florida,0.9297794915117178,20,18.595589830234356
R32,Connecticut,Georgia,Connecticut,0.7775250371660839,20,15.550500743321678
R32,Virginia,Vanderbilt,Vanderbilt,0.5192343413849599,20,10.384686827699198
R32,Nebraska,St Mary's CA,Nebraska,0.5955971889431985,20,11.91194377886397
R32,Houston,N.C. State,Houston,0.8615329394456065,20,17.23065878891213
R32,Arizona,St Louis,Arizona,0.8888982826497293,20,17.777965652994585
R32,Alabama,St John's,Alabama,0.6156842106917763,20,12.313684213835526
R32,Purdue,Tennessee,Purdue,0.6353811496994936,20,12.70762299398987
R32,Michigan St,Louisville,Michigan St,0.5380527464396256,20,10.761054928792513
S16,Duke,Arkansas,Duke,0.8350765847320659,40,33.403063389282636
S16,Illinois,Iowa St,Illinois,0.7135199554102679,40,28.540798216410717
S16,Michigan,Kansas,Michigan,0.8625187076131394,40,34.50074830452558
S16,Texas Tech,Florida,Florida,0.6904590350697131,40,27.618361402788523
S16,Connecticut,Vanderbilt,Connecticut,0.6260801827710616,40,25.04320731084246
S16,Nebraska,Houston,Houston,0.7671681207363351,40,30.686724829453404
S16,Arizona,Alabama,Arizona,0.7603772739590224,40,30.4150909583609
S16,Purdue,Michigan St,Purdue,0.6138203495952668,40,24.552813983810672
E8,Duke,Illinois,Duke,0.6130509784829207,80,49.044078278633656
E8,Michigan,Florida,Michigan,0.6233558633200943,80,49.86846906560754
E8,Connecticut,Houston,Houston,0.6233081806194855,80,49.864654449558834
E8,Arizona,Purdue,Arizona,0.6474052913776314,80,51.79242331021051
F4,Duke,Michigan,Michigan,0.5025612152817971,160,80.40979444508753
F4,Houston,Arizona,Arizona,0.5601294195875586,160,89.62070713400936
Title,Michigan,Arizona,Michigan,0.6060573619999807,320,193.93835583999385
