Team,AdjEM,Tempo
Michigan,35.0,72.0
Duke,34.7,67.1
Arizona,32.0,71.4
Florida,31.8,71.6
Houston,31.7,64.9
Illinois,29.9,67.1
Iowa State,29.5,68.3
Purdue,28.8,65.6
Connecticut,28.1,65.4
Gonzaga,26.8,70.4
Michigan State,26.5,67.2
St. John's,26.1,70.8
Vanderbilt,25.6,70.0
Virginia,24.4,66.9
Tennessee,23.5,66.2
Arkansas,23.2,71.5
Alabama,22.8,74.3
Louisville,22.5,70.9
Nebraska,22.3,68.0
Wisconsin,22.3,69.1
Kansas,22.2,68.7
Ohio State,20.9,67.5
Saint Mary's,20.4,66.1
UCLA,20.3,66.0
Kentucky,20.2,69.8
Iowa,20.1,64.8
Cincinnati,19.0,68.3
Miami (Fla.),18.8,68.8
Texas Tech,18.6,67.5
Georgia,18.3,72.4
Clemson,17.9,65.6
Saint Louis,17.8,72.1
Utah State,17.6,68.5
Oklahoma,17.3,67.5
Texas,16.9,67.9
Auburn,16.9,68.5
Santa Clara,16.9,70.1
SMU,16.8,70.1
NC State,16.5,70.2
BYU,16.4,70.9
Texas A&M,16.4,72.0
TCU,15.9,69.0
VCU,15.4,70.0
Indiana,15.3,67.3
South Florida,15.2,72.5
Villanova,15.2,66.6
Baylor,15.1,68.9
North Carolina,14.7,69.2
Missouri,14.4,67.6
San Diego State,13.9,69.5
Washington,13.4,68.1
Seton Hall,12.6,66.4
Virginia Tech,12.4,67.9
New Mexico,12.2,70.6
West Virginia,12.2,64.4
Yale,12.2,66.3
Grand Canyon,12.0,69.0
Boise State,11.8,66.5
UCF,11.7,70.4
Ole Miss,11.6,67.5
Northwestern,11.3,66.1
Akron,11.3,71.4
Dayton,11.0,68.6
Florida State,10.8,71.3
Belmont,10.8,70.3
McNeese State,10.7,67.7
Tulsa,10.6,69.4
Northern Iowa,10.6,64.2
Wake Forest,10.5,69.2
Creighton,10.4,68.5
George Washington,10.3,70.3
Providence,10.2,71.8
Stanford,10.1,68.1
Marquette,10.1,70.5
Hofstra,10.0,66.0
Wichita State,9.8,68.3
LSU,9.1,67.9
High Point,9.0,70.5
California,9.0,69.2
Syracuse,8.6,68.8
Colorado,8.5,69.6
Nevada,8.4,67.6
Minnesota,8.2,64.2
Miami (OH),8.0,71.0
Utah Valley,7.9,69.8
Arizona State,7.9,70.3
Oklahoma State,7.6,72.9
Kansas State,7.5,72.8
Mississippi State,7.3,70.6
Notre Dame,6.8,67.6
Stephen F. Austin,6.7,66.8
Butler,6.4,69.7
George Mason,6.3,64.8
Illinois State,6.2,68.0
Georgetown,6.2,67.5
DePaul,6.1,67.2
Xavier,6.1,71.2
Colorado State,6.0,65.3
South Carolina,6.0,67.2
Oregon,5.9,67.3
UNC Wilmington,5.4,66.3
Illinois-Chicago,5.3,67.9
Pittsburgh,5.1,65.1
St. Thomas (MN),5.0,69.4
UC Irvine,4.9,69.7
Maryland,4.9,67.8
Saint Joseph's,4.8,68.9
USC,4.7,70.9
Troy,4.5,66.9
Bradley,4.4,68.5
Sam Houston State,4.4,71.0
Liberty,4.3,65.6
Rutgers,4.1,68.2
North Dakota State,4.1,67.5
UAB,4.1,70.3
Davidson,3.9,65.2
San Francisco,3.8,67.5
California Baptist,3.8,67.3
UNLV,3.7,70.8
Hawaii,3.3,70.0
Southern Illinois,3.3,69.8
Seattle,3.2,68.5
Wyoming,3.2,67.1
Florida Atlantic,3.1,70.8
Murray State,3.1,72.3
Duquesne,3.1,69.4
Memphis,3.0,70.9
Navy,2.8,66.8
Pacific,2.7,65.9
Saint Bonaventure,2.5,68.3
North Texas,2.4,66.3
Texas-Rio Grande Valley,2.4,68.1
Winthrop,2.3,71.6
UC San Diego,2.2,68.5
Toledo,2.1,69.6
UC Santa Barbara,2.0,66.0
Harvard,2.0,64.9
Towson,1.9,65.2
East Tennessee State,1.7,67.2
Montana State,1.7,66.9
Arkansas State,1.7,73.0
Temple,1.5,66.4
Northern Colorado,1.5,69.6
Utah,1.5,68.0
Rhode Island,1.4,67.8
Penn State,1.4,68.5
Boston College,1.3,67.4
Wright State,1.3,68.4
Richmond,1.2,68.2
Kennesaw State,1.1,71.9
Kent State,1.1,71.1
Furman,0.9,67.2
Georgia Tech,0.9,71.1
Portland State,0.7,69.1
Cornell,0.7,72.0
Robert Morris,0.5,66.1
Washington State,0.5,69.1
Penn,0.4,70.2
College of Charleston,0.4,69.3
Tennessee State,0.3,71.0
Bowling Green,0.3,69.8
Fordham,0.2,66.0
UMBC,0.1,67.8
Idaho,0.0,68.5
Siena,0.0,66.1
Western Kentucky,-0.0,71.3
William & Mary,-0.1,73.4
Mercer,-0.3,70.3
Loyola Marymount,-0.4,68.2
Merrimack,-0.5,64.8
Samford,-0.5,68.7
Appalachian State,-0.5,64.6
Monmouth,-0.5,68.4
Fresno State,-0.7,69.6
Central Arkansas,-0.7,69.5
Austin Peay,-0.8,70.0
Charlotte,-0.8,65.0
Oregon State,-0.8,66.4
Middle Tennessee,-0.9,67.2
New Mexico State,-1.1,67.4
Howard,-1.1,71.1
Louisiana Tech,-1.1,65.5
Marshall,-1.4,70.6
Eastern Washington,-1.6,68.5
Oakland,-1.7,70.2
South Alabama,-1.7,65.9
Valparaiso,-1.7,66.8
Texas A&M-Corpus Christi,-1.8,67.5
Marist,-1.8,67.5
James Madison,-1.9,67.4
Florida International,-1.9,72.4
Northern Kentucky,-1.9,70.3
Queens,-2.0,70.2
UT Arlington,-2.1,66.3
Western Carolina,-2.1,69.4
Massachusetts,-2.3,71.0
Tulane,-2.5,68.4
Campbell,-2.7,70.5
Quinnipiac,-2.8,70.8
Missouri State,-2.8,66.4
Columbia,-2.9,68.7
South Dakota State,-2.9,68.3
Drake,-3.0,68.0
UC Davis,-3.0,70.0
Cal State Northridge,-3.1,74.1
Lipscomb,-3.1,70.3
Jacksonville State,-3.2,66.6
Long Island,-3.5,69.2
Cal State Fullerton,-3.6,73.7
Montana,-3.6,70.3
Indiana State,-3.7,69.7
Southeast Missouri State,-3.8,69.6
Drexel,-3.9,65.6
Ohio,-3.9,69.8
Southern Mississippi,-4.0,70.1
Vermont,-4.0,65.6
Youngstown State,-4.1,68.6
UNC Asheville,-4.3,66.1
Saint Peter's,-4.5,66.2
Colgate,-4.7,68.2
Georgia Southern,-4.7,71.2
New Orleans,-4.8,71.1
Old Dominion,-4.8,69.9
Radford,-4.8,71.4
Tennessee-Martin,-4.8,66.3
Buffalo,-4.9,68.0
Weber State,-4.9,69.5
SIU Edwardsville,-5.0,66.1
Texas State,-5.0,67.7
Wofford,-5.1,69.0
Longwood,-5.3,69.8
Cal Poly,-5.4,74.9
Charleston Southern,-5.5,72.6
Detroit,-5.5,69.7
Rice,-5.5,67.5
Iona,-5.7,70.0
Bethune-Cookman,-5.7,70.0
Florida Gulf Coast,-5.8,68.6
Boston University,-5.8,64.7
Lamar,-5.9,67.1
Utah Tech,-6.0,67.9
East Carolina,-6.1,69.4
American,-6.1,67.6
Princeton,-6.1,65.7
Green Bay,-6.1,65.0
Fairfield,-6.2,68.4
Stony Brook,-6.2,67.1
Tarleton State,-6.3,70.2
Coastal Carolina,-6.4,68.2
Omaha,-6.6,68.2
Nicholls State,-6.7,69.2
Mount St. Mary's,-6.7,68.9
Presbyterian,-6.9,65.7
Fort Wayne,-7.0,68.9
Lindenwood,-7.0,73.1
San Diego,-7.1,69.2
Hampton,-7.1,67.0
San Jose State,-7.1,66.3
Chattanooga,-7.2,68.1
Incarnate Word,-7.2,66.6
Denver,-7.6,69.0
Ball State,-7.7,65.4
Sacred Heart,-7.7,69.6
Central Michigan,-7.9,68.2
Southern,-7.9,70.4
Dartmouth,-8.0,70.8
La Salle,-8.1,67.7
Elon,-8.1,68.1
Milwaukee,-8.1,68.7
Long Beach State,-8.2,69.5
Eastern Michigan,-8.3,67.7
Morehead State,-8.5,67.0
Loyola Chicago,-8.6,66.7
Lehigh,-8.6,68.1
Arkansas-Little Rock,-8.7,67.9
UTEP,-8.7,67.0
Brown,-8.7,68.0
UNC Greensboro,-9.0,68.7
Abilene Christian,-9.0,69.2
Bellarmine,-9.1,66.4
Mercyhurst,-9.2,65.8
UC Riverside,-9.2,70.2
Western Michigan,-9.3,68.9
South Dakota,-9.4,71.1
Southern Utah,-9.5,71.2
Sacramento State,-9.6,72.4
Eastern Kentucky,-9.6,68.5
Jacksonville,-9.6,65.1
Grambling,-9.9,68.5
North Dakota,-9.9,69.2
Idaho State,-9.9,66.1
Northeastern,-10.0,70.6
West Georgia,-10.0,70.2
Texas Southern,-10.0,70.1
Prairie View,-10.2,72.1
Le Moyne,-10.3,70.4
Pepperdine,-10.5,69.3
Southeastern Louisiana,-10.6,67.1
Houston Christian,-10.7,65.9
Norfolk State,-10.7,68.8
Northwestern State,-10.7,66.1
North Carolina A&T,-10.8,69.6
Central Connecticut,-10.8,66.1
Portland,-11.1,69.6
Louisiana-Lafayette,-11.2,65.0
Alabama A&M,-11.3,67.3
Loyola Maryland,-11.4,69.3
South Carolina Upstate,-11.5,69.4
UMass Lowell,-11.7,70.2
Albany,-11.8,66.8
Tennessee Tech,-11.9,68.4
Wagner,-11.9,66.4
Stetson,-12.0,68.1
Florida A&M,-12.1,69.8
Oral Roberts,-12.7,69.3
East Texas A&M,-12.8,69.0
Lafayette,-12.8,68.0
Georgia State,-12.9,69.2
Evansville,-12.9,68.0
Alabama State,-13.2,70.3
Manhattan,-13.4,69.2
Bucknell,-13.7,68.0
Arkansas-Pine Bluff,-14.0,70.7
Eastern Illinois,-14.1,67.1
Stonehill,-14.1,67.1
NJIT,-14.2,69.2
Holy Cross,-14.2,67.1
Delaware,-14.6,65.4
New Haven,-14.7,65.6
Cleveland State,-15.0,70.6
Niagara,-15.2,64.0
Army,-15.3,68.1
Jackson State,-15.4,70.4
Fairleigh Dickinson,-15.7,66.2
The Citadel,-15.8,65.7
Northern Arizona,-15.9,65.6
Southern Indiana,-16.2,69.2
Cal State Bakersfield,-16.4,71.1
North Carolina Central,-16.6,67.0
North Alabama,-16.6,66.3
Canisius,-16.7,65.8
North Florida,-16.8,71.3
IU Indy,-17.2,73.8
UTSA,-17.4,69.8
Morgan State,-17.7,71.6
Maine,-17.7,66.2
South Carolina State,-17.9,70.3
Chicago State,-18.3,67.4
Maryland-Eastern Shore,-18.3,65.0
New Hampshire,-18.3,68.9
Alcorn State,-18.6,68.7
Bryant,-19.1,66.2
Northern Illinois,-19.3,69.4
Saint Francis (PA),-20.0,70.9
Binghamton,-20.0,66.8
Air Force,-20.3,67.4
Rider,-20.3,66.8
VMI,-20.8,68.3
Coppin State,-20.8,69.6
Delaware State,-21.7,67.1
Louisiana-Monroe,-22.6,70.8
Gardner-Webb,-24.9,70.5
Missouri-Kansas City,-25.0,70.4
Western Illinois,-25.1,67.5
