Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
Alabama,Keitenn Bristow,F,Out,Feb 6,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Bristow is out with undisclosed
Alabama,Davion Hannah,G,Out,Feb 6,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Hannah is out with undisclosed
Alabama,Collins Onyejiaka,C,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Onyejiaka is out with undisclosed
Appalachian St.,KJ Vasser,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Vasser is out for season with foot
Arizona St.,Adante' Holiman,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Holiman is out with elbow
Arizona St.,Vijay Wallace,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Wallace is out for season with ankle
Arizona St.,Dame Salane,C,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Salane is out for season with redshirt
Arkansas,Karter Knox,F,Out,Feb 20,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Knox is out with undisclosed
Auburn,Emeka Opurum,C,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Opurum is out for season with undisclosed
BYU,Dawson Baker,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Baker is out for season with knee
BYU,Richie Saunders,G,Out for season,Feb 17,,-0.1,covers_raw:injuries_raw.txt,is out for season Saunders is out for season with knee
BYU,Nate Pickens,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Pickens is out for season with undisclosed
BYU,Brody Kozlowski,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Houston U Kozlowski is questionable with undisclosed"
BYU,Xavion Staton,C,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Houston U Staton is questionable with undisclosed"
BYU,KJ Perry,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Perry is out for season with redshirt
Baylor,JJ White,G,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" White is questionable with undisclosed"
Baylor,Juslin Bodo Bodo,C,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Bodo Bodo is out for season with arm
Baylor,Maikcol Perez,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Perez is out for season with knee
Belmont,Nic McClain,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely McClain is out with undisclosed
Bethune-Cookman,Daniel Rouzan,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" to return Wednesday vs Prairie View A&M Rouzan is questionable with hand"
Boise St.,Julian Bowie,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Bowie is out for season with personal
Boston College,Donald Hand,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"left last game, is ""?"" Hand is questionable with leg"
Boston College,Jason Asemota,F,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Asemota is questionable with undisclosed"
Boston College,Nick Petronio,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Petronio is out with undisclosed
Boston University,Malcolm Chimezie,F,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Wednesday vs Lehigh Chimezie is questionable with knee"
Boston University,Kyrone Alexander,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Alexander is out with leg
Bradley,Matthew Zobrist,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Zobrist is questionable with undisclosed"
Butler,Azavier Robinson,G,Out for season,Feb 11,,-0.1,covers_raw:injuries_raw.txt,is out for season Robinson is out for season with wrist
California,Rytis Petraitis,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Petraitis is out for season with leg
California,Stephon Marbury,G,Out,Mar 11,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Wednesday vs Florida State Marbury is out with undisclosed
California,Jovani Ruff,G,Out,Mar 11,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Wednesday vs Florida State Ruff is out with undisclosed
Charleston,Will Mortimore,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Mortimore is out with concussion
Charlotte,Ethan Butler,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Tulane Butler is questionable with undisclosed"
Charlotte,Damoni Harrison,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Tulane Harrison is questionable with undisclosed"
Charlotte,Major Freeman,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Tulane Freeman is questionable with undisclosed"
Charlotte,David Gomez,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Tulane Gomez is questionable with undisclosed"
Charlotte,Frank Oguche,G,Out,Jan 30,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Oguche is out with undisclosed
