Team,AdjEM,Tempo
Duke,40.60,65.4
Michigan,39.31,71.5
Arizona,37.33,70.1
Florida,35.32,70.9
Illinois,32.67,65.5
Houston,32.47,63.4
Iowa St.,29.96,66.7
Purdue,29.42,64.9
Michigan St.,28.93,65.9
Connecticut,28.26,64.9
Gonzaga,27.87,69.1
Nebraska,26.95,66.9
Vanderbilt,26.42,69.5
Louisville,26.12,70.1
Tennessee,26.09,65.3
Texas Tech,26.09,66.3
Alabama,26.08,73.0
Arkansas,25.94,71.2
Kansas,25.39,67.6
Virginia,25.24,65.8
St. John's,24.43,69.8
Saint Mary's,23.14,65.1
Wisconsin,22.59,69.0
Iowa,22.52,63.0
BYU,22.41,69.8
Ohio St.,21.68,66.3
Kentucky,21.38,68.1
UCLA,21.29,64.4
Miami FL,21.15,67.8
North Carolina,21.04,67.8
Georgia,21.03,71.3
Villanova,21.00,65.2
Texas,19.91,66.8
Santa Clara,19.77,69.6
Texas A&M,19.77,70.6
Utah St.,19.62,67.7
N.C. State,19.59,69.0
Clemson,18.93,64.2
Auburn,18.73,67.2
Saint Louis,18.65,71.0
Indiana,18.12,66.2
Cincinnati,17.76,67.6
SMU,17.49,69.0
TCU,17.41,67.6
VCU,16.88,69.0
Oklahoma,16.77,66.5
San Diego St.,16.71,69.0
Baylor,16.27,67.8
New Mexico,15.90,70.1
Missouri,15.47,66.1
Seton Hall,15.32,65.0
South Florida,15.28,71.6
UCF,15.17,69.4
Washington,14.98,67.2
Boise St.,14.36,65.5
Virginia Tech,14.05,67.1
West Virginia,14.03,62.4
Tulsa,13.94,68.0
Stanford,13.72,67.0
Grand Canyon,13.53,67.9
Akron,13.47,70.6
LSU,13.19,66.5
Arizona St.,13.17,69.2
Colorado,12.60,68.8
Florida St.,12.47,70.5
Northwestern,12.45,65.4
Belmont,12.30,69.0
McNeese,12.20,66.3
Oklahoma St.,12.14,72.2
Northern Iowa,11.81,62.3
California,11.73,68.1
Minnesota,11.50,62.4
Providence,11.39,71.2
Creighton,11.35,67.4
Wake Forest,11.34,68.3
Nevada,11.03,65.5
USC,10.86,70.6
Yale,10.79,64.8
Dayton,10.64,67.1
Syracuse,10.29,67.5
Mississippi,10.25,66.0
Butler,9.81,68.7
George Washington,9.76,69.2
Colorado St.,9.68,62.9
Marquette,9.67,68.7
Georgetown,9.67,66.4
Hofstra,9.66,64.7
Wichita St.,9.40,66.3
Stephen F. Austin,9.34,66.0
Utah Valley,9.31,69.0
Miami OH,8.95,70.1
Notre Dame,8.86,66.0
High Point,8.48,70.0
George Mason,8.04,63.4
South Carolina,7.86,66.5
Xavier,7.75,70.2
Oregon,7.70,66.0
Wyoming,7.63,66.3
Pittsburgh,7.56,63.7
Mississippi St.,7.28,69.6
Kansas St.,7.17,72.6
DePaul,7.00,66.4
Illinois St.,6.64,66.7
UNLV,6.34,70.1
Illinois Chicago,6.16,66.4
UC Irvine,6.04,68.4
Davidson,5.92,63.8
Sam Houston St.,5.90,70.2
St. Thomas,5.88,68.3
UNC Wilmington,5.83,65.1
Pacific,5.49,64.3
Cal Baptist,5.45,65.7
UC San Diego,5.30,67.3
North Dakota St.,5.13,66.4
Hawaii,5.04,69.8
Liberty,4.65,63.9
Southern Illinois,4.62,69.0
Seattle,4.58,67.7
UT Rio Grande Valley,4.37,66.5
San Francisco,4.30,66.0
Murray St.,4.15,71.6
Saint Joseph's,4.04,68.3
Bradley,4.00,67.4
UAB,3.97,69.1
UC Santa Barbara,3.46,64.1
Utah,3.45,66.1
Florida Atlantic,3.43,69.6
Maryland,3.36,66.1
Rutgers,3.32,66.6
Memphis,3.22,70.2
Fresno St.,3.14,68.3
Montana St.,3.01,66.0
Duquesne,2.92,69.1
Rhode Island,2.88,66.0
Toledo,2.65,67.9
Washington St.,2.39,67.9
Penn St.,2.31,67.5
Wright St.,2.10,67.2
North Texas,2.04,64.8
Northern Colorado,1.97,68.8
Portland St.,1.86,67.9
Navy,1.85,65.1
Troy,1.73,64.9
Richmond,1.71,67.8
Robert Morris,1.62,64.5
William & Mary,1.56,72.6
Bowling Green,1.52,68.4
Arkansas St.,1.39,72.0
Harvard,1.34,63.1
Central Arkansas,1.22,68.0
Winthrop,1.18,70.1
Towson,1.17,63.5
Kent St.,1.13,70.5
Boston College,1.12,66.0
UC Davis,1.06,68.3
UT Arlington,1.02,65.0
Cornell,1.00,71.6
Valparaiso,0.96,65.2
St. Bonaventure,0.91,67.2
Loyola Marymount,0.83,67.0
Temple,0.71,65.1
Penn,0.70,69.3
Georgia Tech,0.65,70.7
Idaho,0.60,67.6
Eastern Washington,0.56,67.6
East Tennessee St.,0.48,66.1
Western Kentucky,0.37,69.7
Fordham,0.36,64.5
Cal St. Fullerton,0.29,72.6
Oakland,0.17,69.9
Middle Tennessee,-0.00,65.6
Charleston,-0.17,67.7
Merrimack,-0.19,63.4
Austin Peay,-0.34,69.5
Texas A&M Corpus Chris,-0.44,66.2
Oregon St.,-0.58,65.1
Northern Kentucky,-0.59,70.2
CSUN,-0.62,73.8
Monmouth,-0.88,67.1
Kennesaw St.,-0.99,71.4
Campbell,-1.41,69.8
Montana,-1.46,69.4
Queens,-1.49,69.7
Utah Tech,-1.53,66.0
New Mexico St.,-1.69,66.9
Tennessee St.,-1.81,70.3
Furman,-1.90,65.9
Columbia,-1.92,66.7
Mercer,-1.92,69.0
FIU,-1.95,71.8
New Orleans,-2.14,69.8
Charlotte,-2.26,63.4
Appalachian St.,-2.38,63.0
Weber St.,-2.59,68.6
Drake,-2.61,67.3
Siena,-2.68,64.6
Portland,-2.81,68.5
Lipscomb,-2.82,69.4
UMBC,-2.84,66.2
Indiana St.,-2.90,68.1
Massachusetts,-2.92,70.1
Howard,-3.01,69.1
Marist,-3.06,66.4
Jacksonville St.,-3.18,65.4
Marshall,-3.18,69.3
South Alabama,-3.19,64.7
Buffalo,-3.25,66.5
Louisiana Tech,-3.31,64.5
Green Bay,-3.50,62.9
Tulane,-3.66,67.0
Cal Poly,-3.85,74.1
Samford,-3.86,67.3
James Madison,-3.90,66.0
Missouri St.,-3.94,65.9
Tarleton St.,-3.97,69.0
Youngstown St.,-3.99,67.3
LIU,-4.07,67.8
Quinnipiac,-4.22,69.9
Southern Miss,-4.23,69.3
Detroit Mercy,-4.24,68.8
South Dakota St.,-4.30,66.8
Drexel,-4.64,64.3
Tennessee Martin,-4.90,64.2
San Diego,-4.97,68.1
La Salle,-5.17,65.6
Rice,-5.23,65.6
Ohio,-5.28,68.8
Stony Brook,-5.46,66.3
Western Carolina,-5.50,67.8
Elon,-5.63,66.9
Southeast Missouri,-5.85,68.9
Vermont,-5.86,65.0
Long Beach St.,-5.88,68.6
Denver,-5.95,67.9
Georgia Southern,-6.08,70.1
San Jose St.,-6.10,64.9
Nicholls,-6.20,68.2
Bethune Cookman,-6.21,69.3
Lamar,-6.25,65.6
Eastern Michigan,-6.38,66.5
American,-6.39,66.7
Charleston Southern,-6.41,71.6
Florida Gulf Coast,-6.64,67.6
Texas St.,-6.66,66.1
UNC Asheville,-6.68,64.8
Abilene Christian,-6.73,67.5
Coastal Carolina,-6.87,66.9
Old Dominion,-6.90,69.0
