Team,AdjEM_torvik,Tempo_torvik,AdjEM_kenpom,Tempo_kenpom,AdjEM_evanmiya,Tempo_evanmiya,AdjEM_blend,Tempo_blend,sources_used,InjuryAdj,AdjEM_current,source_count
Michigan,38.27773156090166,71.64081878337679,,,,,38.27773156090166,71.64081878337679,torvik,0.0,38.27773156090166,1
Duke,38.12078160552649,65.77615740601618,,,,,38.12078160552649,65.77615740601618,torvik,0.0,38.12078160552649,1
Arizona,35.19637046664569,70.15709519355129,,,,,35.19637046664569,70.15709519355129,torvik,0.0,35.19637046664569,1
Illinois,34.823644298688606,65.60584644351394,,,,,34.823644298688606,65.60584644351394,torvik,0.0,34.823644298688606,1
Florida,34.65999260198443,70.47767538510371,,,,,34.65999260198443,70.47767538510371,torvik,0.0,34.65999260198443,1
Houston,33.33996903870387,63.26839177744951,,,,,33.33996903870387,63.26839177744951,torvik,0.0,33.33996903870387,1
Purdue,30.81617350747915,64.82222446181095,,,,,30.81617350747915,64.82222446181095,torvik,0.0,30.81617350747915,1
Connecticut,29.560276120103254,64.87335618652784,,,,,29.560276120103257,64.87335618652784,torvik,0.0,29.560276120103257,1
Iowa St.,28.204692028591097,66.88850924788244,,,,,28.2046920285911,66.88850924788244,torvik,0.0,28.2046920285911,1
Michigan St.,27.495212397561943,65.39574339893628,,,,,27.495212397561943,65.39574339893628,torvik,0.0,27.495212397561943,1
Tennessee,26.819867429937887,65.13408844957094,,,,,26.819867429937887,65.13408844957094,torvik,0.0,26.819867429937887,1
Alabama,26.798919808379168,72.83463805213076,,,,,26.79891980837917,72.83463805213076,torvik,0.0,26.79891980837917,1
Louisville,26.45710394841231,70.18334331159745,,,,,26.45710394841231,70.18334331159745,torvik,0.0,26.45710394841231,1
Arkansas,26.29205708573356,71.07290456174789,,,,,26.29205708573356,71.07290456174789,torvik,0.0,26.29205708573356,1
Gonzaga,26.146975350524514,69.1778884316057,,,,,26.146975350524517,69.1778884316057,torvik,0.0,26.146975350524517,1
